City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kaitangata,NZ,-46.2817,169.8464,63.3,58,0,8.37,clear sky
80,Sept-Iles,CA,50.2001,-66.3821,18.03,91,100,19.57,snow
81,Lagoa,PT,39.05,-27.9833,56.95,60,6,20.31,clear sky
82,Isangel,VU,-19.55,169.2667,83.12,74,49,0.22,scattered clouds
83,Carnarvon,AU,-24.8667,113.6333,82.47,44,0,17.27,clear sky
84,Itamaraca,BR,-7.7478,-34.8256,82.45,79,93,7.72,overcast clouds
85,Port Blair,IN,11.6667,92.75,82.35,67,27,4.36,scattered clouds
86,Chokurdakh,RU,70.6333,147.9167,-8.93,92,100,4.32,overcast clouds
87,Port Alfred,ZA,-33.5906,26.891,75.45,76,48,8.68,scattered clouds
88,Aykino,RU,62.2248,49.9922,22.86,94,99,6.96,overcast clouds
89,Tabou,CI,4.423,-7.3528,79.0,87,100,5.01,overcast clouds
90,Umba,RU,66.6871,34.3429,27.36,94,99,2.44,overcast clouds
91,Lebu,CL,-37.6167,-73.65,57.65,93,18,17.0,few clouds
92,Cherskiy,RU,68.75,161.3,-3.95,93,100,3.06,overcast clouds
93,Ippy,CF,6.2679,21.2247,72.73,82,98,3.53,overcast clouds
94,Atasu,KZ,48.6814,71.6433,33.8,98,100,17.87,overcast clouds
95,Half Moon Bay,US,37.4636,-122.4286,61.0,73,100,20.71,overcast clouds
96,Kodiak,US,57.79,-152.4072,40.51,87,100,5.75,light rain
97,Bambous Virieux,MU,-20.3428,57.7575,79.21,94,75,8.05,light intensity shower rain
98,Evensk,RU,61.95,159.2333,21.4,80,76,7.23,broken clouds
99,Gravdal,NO,68.1214,13.5031,37.65,72,55,9.44,broken clouds
100,Contai,IN,21.7786,87.7536,76.03,39,20,6.24,few clouds
101,Omboue,GA,-1.5746,9.2618,75.6,93,100,4.85,light rain
102,Verkhnyaya Toyma,RU,62.2349,44.9985,23.83,96,98,5.44,overcast clouds
103,Soyo,AO,-6.1349,12.3689,79.32,80,100,3.13,light rain
104,Aksu,CN,41.1231,80.2644,53.24,27,87,5.57,overcast clouds
105,Moss Point,US,30.4116,-88.5345,44.65,51,0,4.61,clear sky
106,Torbay,CA,47.6666,-52.7314,43.29,95,100,33.38,light rain
107,Houma,US,29.5958,-90.7195,46.4,45,0,5.75,clear sky
108,Saint-Georges,GD,12.0564,-61.7485,77.41,71,11,19.51,few clouds
109,Georgetown,MY,5.4112,100.3354,84.13,83,20,7.0,few clouds
110,Tasiilaq,GL,65.6145,-37.6368,30.36,95,100,10.51,snow
111,Oil City,US,41.4339,-79.7064,17.08,78,100,16.11,overcast clouds
112,Aklavik,CA,68.2191,-135.0107,-9.36,87,54,8.12,broken clouds
113,Nemuro,JP,43.3236,145.575,31.75,81,100,6.64,overcast clouds
114,Pahrump,US,36.2083,-115.9839,68.85,8,0,1.01,clear sky
115,Greenfield,US,42.9614,-88.0126,19.94,50,0,5.75,clear sky
116,Paamiut,GL,61.994,-49.6678,8.82,92,100,7.83,light snow
117,Aurdal,NO,60.9242,9.4159,17.29,94,100,1.32,overcast clouds
118,Cape Town,ZA,-33.9258,18.4232,65.08,85,0,8.05,light rain
119,Bosaso,SO,11.2842,49.1816,74.98,73,9,3.53,clear sky
120,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,32.59,55,40,6.71,scattered clouds
121,Almora,IN,29.6167,79.6667,54.28,46,2,1.86,clear sky
122,Abnub,EG,27.2696,31.1511,48.42,44,0,9.37,clear sky
123,Arari,BR,-3.4536,-44.78,72.57,98,95,3.06,overcast clouds
124,Hithadhoo,MV,-0.6,73.0833,82.99,70,23,8.19,few clouds
125,Sisimiut,GL,66.9395,-53.6735,-4.56,97,100,5.32,light snow
126,Pisco,PE,-13.7,-76.2167,69.85,83,0,9.22,clear sky
127,Abu Samrah,SY,35.3029,37.1841,37.4,89,70,6.85,broken clouds
128,Bourbonnais,US,41.1417,-87.875,19.13,76,0,5.75,clear sky
