City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
268,Codrington,AU,77.7,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
272,Luwuk,ID,85.78,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
273,Mahebourg,MU,79.25,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
274,Port-Gentil,GA,78.67,overcast clouds,-0.7193,8.7815,Fengshui Residence
275,Atuona,PF,79.03,overcast clouds,-9.8,-139.0333,Villa Enata
286,Andros Town,BS,78.76,light rain,24.7,-77.7667,Hanks place
288,Djenne,ML,79.77,few clouds,13.9061,-4.5533,Hôtel Chez Baba
290,Brejo Santo,BR,75.43,overcast clouds,-7.4933,-38.9872,Hotel Flor de Lis
292,Conceicao Da Barra,BR,77.31,clear sky,-18.5933,-39.7322,Cricaré Praia Hotel
295,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
297,Kefamenanu,ID,83.07,overcast clouds,-9.4467,124.4781,Sokowindo Losmen
303,Itoman,JP,75.22,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
308,Tubmanburg,LR,76.21,broken clouds,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
310,Moroni,KM,78.12,overcast clouds,-11.7022,43.2551,Hotel les Arcades
311,Saint-Pierre,RE,76.68,broken clouds,-21.3393,55.4781,Lindsey Hôtel
320,Bandarban,BD,77.61,clear sky,22.1965,92.2262,"Hilltop, Hafazgona, Bandarban"
322,Belmonte,BR,77.76,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
324,Mackay,AU,84.69,overcast clouds,-21.15,149.2,International Lodge Motel
326,Gorontalo,ID,86.54,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
328,Buchanan,LR,79.63,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
329,Bandarbeyla,SO,75.45,overcast clouds,9.4942,50.8122,JABIR HOTEL
333,Mahibadhoo,MV,81.99,clear sky,3.7833,72.9667,Omadhoo Inn
336,Paita,PE,76.87,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
352,Poso,ID,83.75,light rain,-1.3959,120.7524,Hotel 77 Poso
353,Gaoual,GN,75.07,clear sky,11.75,-13.2,Hotel koliba
354,Kattivakkam,IN,78.08,overcast clouds,13.2167,80.3167,Euronova Freezer
355,Bombay,IN,80.58,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
356,Meulaboh,ID,80.08,overcast clouds,4.1363,96.1285,Kost Pria
358,Wanning,CN,77.05,scattered clouds,18.8003,110.3967,Paradise Hotel
361,Maceio,BR,76.44,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
363,Alofi,NU,76.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
